source,target,value
33,1800109653,13
33,1803453994,13
33,1800137971,13
33,1800022106,13
34,1802814933,13
34,1800071079,13
34,1800114768,13
34,1800092910,13
34,1807438560,13
35,1800317050,13
35,1800024141,13
35,1804857429,13
35,1800229750,13
35,1800228066,13
36,1800208766,13
36,1800022145,13
36,1800353749,13
36,1800022096,13
36,1800228066,13
37,1800182364,13
37,1800103151,13
37,1800233344,13
37,1807812147,13
37,1800082735,13
38,1808404010,13
38,1800021339,13
38,1800350475,13
38,1800021319,13
38,1800248377,13
39,1808406642,13
39,1800223031,13
39,1807579301,13
39,1800350475,13
39,1800228066,13
40,1804851373,13
40,1800024516,13
40,1800022026,13
40,1800019304,13
40,1800223031,13
41,1800019337,13
41,1800223031,13
41,1800019191,13
41,1800363151,13
41,1807761085,13
42,1804090611,13
42,1800317443,13
42,1800205324,13
42,1800018892,13
42,1800223031,13
43,1802834401,13
43,1804329632,13
43,1800020586,13
43,1800025371,13
43,1800228066,13
44,1800019304,13
44,1800223031,13
44,1800019316,13
44,1800026582,13
44,1808409320,13
45,1800090455,13
45,1800128578,13
45,1800223031,13
45,1800120902,13
45,1804329632,13
46,1800264356,13
46,1800191133,13
46,1807776036,13
46,1808410814,13
46,1800229631,13
47,1800233344,13
47,1807579301,13
47,1800072614,13
47,1800070006,13
47,1800025551,13
48,1800092481,13
48,1800040967,13
48,1800107250,13
48,1800341479,13
48,1800102855,13
49,1800048705,13
49,1807565371,13
49,1800112611,13
49,1800353825,13
49,1800137971,13
50,1807858489,13
50,1808411888,13
50,1807743675,13
50,1800290305,13
50,1804398726,13
51,1800367822,13
51,1808455533,13
51,1800060861,13
51,1808411888,13
51,1800223031,13
52,1800182293,13
52,1800223031,13
52,1800070006,13
52,1804383575,13
52,1800128578,13
53,1807776067,13
53,1800228066,13
53,1800245898,13
53,1808406642,13
53,1800099342,13
54,1802834401,13
54,1808409320,13
54,1803248906,13
54,1800118316,13
54,1800223031,13
55,1800109653,13
55,1808411996,13
55,1800019304,13
55,1800137971,13
55,1800227783,13
56,1800107656,13
56,1807657647,13
56,1800253182,13
56,1800022145,13
56,1800228066,13
57,1800235870,13
57,1804383678,13
57,1800228066,13
57,1800182038,13
57,1804358017,13
58,1800043163,13
58,1800022145,13
58,1808435651,13
58,1800228066,13
58,1800025371,13
59,1808405164,13
59,1800261904,13
59,1804770389,13
59,1800228066,13
59,1800020522,13
60,1804104826,13
60,1804133346,13
60,1800228066,13
60,1804892925,13
60,1800350475,13
61,1800116994,13
61,1800227783,13
61,1800223031,13
61,1802814933,13
61,1800021580,13
62,1800030906,13
62,1800071079,13
62,1808500609,13
62,1800204042,13
62,1800245898,13
63,1804861092,13
63,1800049735,13
63,1800235870,13
63,1800182038,13
63,1800026459,13
64,1800049017,13
64,1807485009,13
64,1800071790,13
64,1800048705,13
64,1800233344,13
65,1800233344,13
65,1802814933,13
65,1800018810,13
65,1804170974,13
65,1800018964,13
66,1800172505,13
66,1800022145,13
66,1800361191,13
66,1800156420,13
66,1800021677,13
67,1808435938,13
67,1800020715,13
67,1803453994,13
67,1807432836,13
67,1800228066,13
68,1800049350,13
68,1800134855,13
68,1800226254,13
68,1804383671,13
68,1800103151,13
69,1800018964,13
69,1800159233,13
69,1800154123,13
69,1800021319,13
69,1800090239,13
70,1804329632,13
70,1800043163,13
70,1800350475,13
70,1800228066,13
70,1800025371,13
71,1800082735,13
71,1800024300,13
71,1800054624,13
71,1800019304,13
71,1808491551,13
72,1808419749,13
72,1800019187,13
72,1800019218,13
72,1800223031,13
72,1800245898,13
73,1800182364,13
73,1804383744,13
73,1804126078,13
73,1800245829,13
73,1800223031,13
74,1800018623,13
74,1800018810,13
74,1800057086,13
74,1800102975,13
74,1807426893,13
75,1800233344,13
75,1807743429,13
75,1800103151,13
75,1808429530,13
75,1800026582,13
76,1800064675,13
76,1800062820,13
76,1800024141,13
76,1807565371,13
76,1808406642,13
77,1808406642,13
77,1800022106,13
77,1800062820,13
77,1800353545,13
77,1800022089,13
78,1800020928,13
78,1800019267,13
78,1800350475,13
78,1800019214,13
78,1808405082,13
80,1800020928,13
80,1800019304,13
80,1800155580,13
80,1800020664,13
80,1800353749,13
81,1800022096,13
81,1802834401,13
81,1800025838,13
81,1802814933,13
81,1800183448,13
82,1800062697,13
82,1808492635,13
82,1808490443,13
82,1800353545,13
82,1800022089,13
83,1800182364,13
83,1807751013,13
83,1800223031,13
83,1800245829,13
83,1804707629,13
84,1804861092,13
84,1800242776,13
84,1802834401,13
84,1802814933,13
84,1800244920,13
85,1800020345,13
85,1800128578,13
85,1800120902,13
85,1800072405,13
85,1804383744,13
86,1800043163,13
86,1800025371,13
86,1800229750,13
86,1800228066,13
86,1800022145,13
87,1800025551,13
87,1804707629,13
87,1807473444,13
87,1800353545,13
87,1808493554,13
88,1800043163,13
88,1800099342,13
88,1800025371,13
88,1807731530,13
88,1800022089,13
89,1800111258,13
89,1808404889,13
89,1808439408,13
89,1800317050,13
89,1800228066,13
90,1800057265,13
90,1800026459,13
90,1800070006,13
90,1800182038,13
90,1807812137,13
91,1800092282,13
91,1800201477,13
91,1800183197,13
91,1800019267,13
91,1800136265,13
92,1800106663,13
92,1800064784,13
92,1800245898,13
92,1800026459,13
92,1800350475,13
93,1803248906,13
93,1800072614,13
93,1802816711,13
93,1800025366,13
93,1800223031,13
94,1802821765,13
94,1800228066,13
94,1808404010,13
94,1800022089,13
94,1800340674,13
95,1800064675,13
95,1804408964,13
95,1800025551,13
95,1807816312,13
95,1800233344,13
96,1807426893,13
96,1804713420,13
96,1800261950,13
96,1800022089,13
96,1800018964,13
97,1800061638,13
97,1800217371,13
97,1800182038,13
97,1800080788,13
97,1800233344,13
98,1800223031,13
98,1800128578,13
98,1802761123,13
98,1800352714,13
98,1800120902,13
99,1804329632,13
99,1800021339,13
99,1800018810,13
99,1807426886,13
99,1800248377,13
100,1800223031,13
100,1807537518,13
100,1800154123,13
100,1800182038,13
100,1800248377,13
101,1800025551,13
101,1808429530,13
101,1800228066,13
101,1804318783,13
101,1800021339,13
102,1808473714,13
102,1800350475,13
102,1800043163,13
102,1800022106,13
102,1800099342,13
103,1800019244,13
103,1802814933,13
103,1800223031,13
103,1800018999,13
103,1800125964,13
104,1800223031,13
104,1800025551,13
104,1800228066,13
104,1800064744,13
104,1800021339,13
105,1800180295,13
105,1800340649,13
105,1808411996,13
105,1800235870,13
105,1804318783,13
106,1800340927,13
106,1800019111,13
106,1800025551,13
106,1800022229,13
106,1800228066,13
107,1800233344,13
107,1804471389,13
107,1800340927,13
107,1800033734,13
107,1800228066,13
108,1800111258,13
108,1800223031,13
108,1804861086,13
108,1804383585,13
108,1800444945,13
109,1800070006,13
109,1800223031,13
109,1800245898,13
109,1804358017,13
109,1800228066,13
110,1800022026,13
110,1805534219,13
110,1804476866,13
110,1800228066,13
110,1800223031,13
111,1800019244,13
111,1805537012,13
111,1800195659,13
111,1800021618,13
111,1800228205,13
112,1800353825,13
112,1804383671,13
112,1800233344,13
112,1800245829,13
112,1800018810,13
113,1800229750,13
113,1800228066,13
113,1808403836,13
113,1800022106,13
113,1808404010,13
114,1800205324,13
114,1800024095,13
114,1800233344,13
114,1804383671,13
114,1800182038,13
115,1800018964,13
115,1800245829,13
115,1800101011,13
115,1800101018,13
115,1800353571,13
116,1800134432,13
116,1800361191,13
116,1800195748,13
116,1800182038,13
116,1800179562,13
117,1800022089,13
117,1800182364,13
117,1800019304,13
117,1800223031,13
117,1800018964,13
118,1804861092,13
118,1807858198,13
118,1800205324,13
118,1800026459,13
118,1800021319,13
119,1808439335,13
119,1800112611,13
119,1800074038,13
119,1807776045,13
119,1808409320,13
120,1800228066,13
120,1800174422,13
120,1807812147,13
120,1800021319,13
120,1800248377,13
121,1808405164,13
121,1800134432,13
121,1800108522,13
121,1808419749,13
121,1800103151,13
122,1800201702,13
122,1807793635,13
122,1804861086,13
122,1800179562,13
122,1800182038,13
123,1803470400,13
123,1800174462,13
123,1800064784,13
123,1804383744,13
123,1800026459,13
124,1808410818,13
124,1808439335,13
124,1800103151,13
124,1800228066,13
124,1808405164,13
125,1804133346,13
125,1800071079,13
125,1800096752,13
125,1800137971,13
125,1800112611,13
126,1808415451,13
126,1804383585,13
126,1807761085,13
126,1804379957,13
126,1804383575,13
127,1808405250,13
127,1800019337,13
127,1804764262,13
127,1807432836,13
127,1800182293,13
128,1800112611,13
128,1800019214,13
128,1800062697,13
128,1800022106,13
128,1800018964,13
129,1800057624,13
129,1808409320,13
129,1804170974,13
129,1800018964,13
129,1807776058,13
130,1800019337,13
130,1800243568,13
130,1800182293,13
130,1800085275,13
130,1800026459,13
131,1808439536,13
131,1808405650,13
131,1808450790,12.759309
131,1800139157,12.591372
131,1808404541,12.5
132,1800350475,13
132,1800291767,13
132,1800248377,13
132,1800021319,13
132,1800021339,13
133,1800019214,13
133,1800353825,13
133,1800025551,13
133,1807426893,13
133,1807816315,13
134,1800019304,13
134,1800025551,13
134,1800353825,13
134,1800025366,13
134,1800137971,13
135,1800245898,13
135,1804707629,13
135,1800023786,13
135,1807800000,13
135,1800022106,13
136,1802953393,13
136,1807783176,13
136,1800103151,13
136,1800022963,13
136,1800125964,13
137,1800059423,13
137,1807433130,13
137,1800181681,13
137,1808410996,13
137,1800058244,13
138,1800082735,13
138,1800350465,13
138,1800022996,13
138,0,13
138,1802761123,13
139,1800090455,13
139,1800057265,13
139,1800120902,13
139,1800223031,13
139,1804383671,13
140,1800233344,13
140,1800024141,13
140,1807432836,13
140,1800118520,13
140,1800223031,13
141,1800134432,13
141,1804383671,13
141,1800195515,13
141,1800182038,13
141,1807879613,13
142,1800019246,13
142,1808403540,13
142,1804329632,13
142,1800022106,13
142,1800228066,13
143,1808433160,13
143,1804861086,13
143,1807816315,13
143,1805535154,13
143,1802814933,13
144,1802822645,13
144,1800126187,13
144,1800114635,13
144,1800245829,13
144,1802761123,13
145,1800022439,13
145,1808411888,13
145,1802834401,13
145,1800022106,13
145,1800025371,13
146,1808409320,13
146,1800177930,13
146,1800552752,13
146,1800021319,13
146,1800071079,13
147,1800233344,13
147,1800223031,13
147,1800018964,13
147,1800228066,13
147,1800021339,13
148,1804358017,13
148,1800182038,13
148,1804383559,13
148,1807426886,13
148,1807426893,13
149,1800191924,13
149,1800193033,13
149,1804861092,13
149,1800019187,13
149,1800026459,13
150,1800249977,13
150,1800109559,13
150,1808404439,13
150,1800061638,13
150,1800223031,13
151,1800106663,13
151,1800074275,13
151,1800048705,13
151,1800233344,13
151,1800279640,13
152,1800183637,13
152,1800103041,13
152,1800084349,13
152,1800110398,13
152,1800041153,13
153,1800074038,13
153,1800252796,13
153,1802834401,13
153,1808418956,13
153,1800244920,13
154,1808404018,13
154,1800074038,13
154,1800417594,13
154,1808405549,13
154,1800353825,13
155,1800021319,13
155,1800243568,13
155,1800062820,13
155,1800019695,13
155,1800019116,13
156,1800223031,13
156,1800109559,13
156,1800245829,13
156,1804358017,13
156,1800350475,13
157,1800028321,13
157,1800021677,13
157,1808491635,13
157,1800182038,13
157,1800021319,13
158,1800025462,13
158,1802761041,13
158,1800341322,13
158,1800279640,13
158,1800341333,13
159,1800020345,13
159,1800103151,13
159,1800100636,13
159,1800020133,13
159,1800026582,13
160,1800024275,13
160,1808405164,13
160,1800074038,13
160,1800215431,13
160,1807776058,13
161,1800130362,13
161,1807816356,13
161,1800019244,13
161,1804329549,13
161,1800025366,13
162,1808435938,13
162,1808405164,13
162,1800019665,13
162,1800350475,13
162,1800025371,13
163,1800082735,13
163,1800245898,13
163,1800223031,13
163,1800021319,13
163,1800245829,13
164,1800067581,13
164,1808405164,13
164,1800112611,13
164,1800228066,13
164,1800353749,13
165,1800350475,13
165,1800293493,13
165,1800018810,13
165,1800021339,13
165,1800026459,13
166,1800068492,13
166,1800340965,13
166,1800021677,13
166,1800025551,13
166,1800195748,13
167,1800060680,13
167,1800253370,13
167,1808468357,13
167,1808403689,13
167,1800136265,13
168,1800019218,13
168,1800469479,13
168,1800353749,13
168,1800137971,13
168,1808405048,13
169,1804133346,13
169,1800022089,13
169,1800060604,13
169,1802814933,13
169,1800071790,13
170,1800361191,13
170,1800161524,13
170,1800071079,13
170,1800226254,13
170,1800233344,13
171,1800022700,13
171,1800071079,13
171,1800195932,13
171,1800195659,13
171,1800340358,13
172,1800021339,13
172,1800248377,13
172,1807426886,13
172,1800021319,13
172,1802834401,13
173,1800228066,13
173,1800057086,13
173,1800143814,13
173,1800021319,13
173,1807426893,13
174,1800340322,13
174,1800026459,13
174,1800143814,13
174,1800102975,13
174,1800021319,13
175,1800195748,13
175,1800223031,13
175,1800024549,13
175,1807812137,13
175,1800182038,13
176,1800350475,13
176,1804383575,13
176,1804383744,13
176,1800021319,13
176,1800021339,13
177,1807761085,13
177,1804383559,13
177,1800021339,13
177,1807657195,13
177,1807426890,13
178,1800080788,13
178,1800022089,13
178,1800351391,13
178,1800182038,13
178,1807426893,13
179,1804707629,13
179,1800228066,13
179,1800026459,13
179,1804318783,13
179,1800021339,13
180,1800020345,13
180,1800223031,13
180,1807426884,13
180,1800021319,13
180,1807812147,13
181,1804170974,13
181,1800340322,13
181,1807463608,13
181,1807645163,13
181,1807426884,13
182,1800228066,13
182,1800350475,13
182,1800057086,13
182,1800071536,13
182,1807426893,13
183,1800112611,13
183,1800227659,13
183,1800215431,13
183,1800018964,13
183,1800099342,13
184,1800223031,13
184,1807537518,13
184,1807751013,13
184,1800245829,13
184,1800099442,13
185,1808411996,13
185,1808409320,13
185,1800233344,13
185,1800223031,13
185,1800026703,13
186,1800552752,13
186,1800095901,13
186,1800172505,13
186,1804861092,13
186,1800223031,13
187,1800022096,13
187,1800228066,13
187,1800245829,13
187,1800022106,13
187,1807537463,13
188,1804736435,13
188,1802814933,13
188,1800020345,13
188,1804383582,13
188,1807812170,13
189,1800350475,13
189,1800025371,13
189,1800362899,13
189,1800020507,13
189,1800228066,13
190,1800233344,13
190,1800067581,13
190,1800025551,13
190,1800242776,13
190,1800024398,13
191,1800340322,13
191,1800361191,13
191,1800182364,13
191,1800235870,13
191,1800161887,13
192,1800227659,13
192,1800026055,13
192,1800249977,13
192,1800022145,13
192,1800025366,13
193,1800080795,13
193,1808455533,13
193,1800022089,13
193,1804861092,13
193,1800024141,13
194,1808473714,13
194,1800025551,13
194,1800021290,13
194,1800022106,13
194,1800018964,13
195,1800103151,13
195,1800114635,13
195,1800361191,13
195,1804383671,13
195,1808439408,13
196,1800128578,13
196,1800137971,13
196,1800020133,13
196,1800022106,13
196,1800228066,13
197,1800103151,13
197,1800268955,13
197,1800223031,13
197,1800128578,13
197,1808406642,13
198,1800019304,13
198,1800231636,13
198,1800112611,13
198,1807800000,13
198,1800024381,13
199,1800361191,13
199,1800019337,13
199,1802814933,13
199,1800228066,13
199,1808404010,13
200,1804555491,13
200,1800353825,13
200,1804329632,13
200,1800025366,13
200,1800043163,13
201,1800070006,13
201,1807579301,13
201,1800223031,13
201,1800071079,13
201,1800120902,13
202,1800059423,13
202,1800353571,13
202,1807859434,13
202,1800361191,13
202,1800026758,13
203,1800256439,13
203,1807537518,13
203,1800021677,13
203,1800363151,13
203,1804361439,13
204,1800106663,13
204,1808411996,13
204,1800044667,13
204,1800019201,13
204,1808491635,13
205,1800049350,13
205,1800256439,13
205,1804383671,13
205,1800205324,13
205,1804318786,13
206,1800111258,13
206,1800037921,13
206,1800019304,13
206,1804476870,13
206,1800096752,12.75
207,1804856723,13
207,1800096752,13
207,1804476870,13
207,1804476872,13
207,1800444902,13
208,1800342224,13
208,1800248377,13
208,1800226270,13
208,1800194750,13
208,1800353559,13
209,1800071079,13
209,1808411996,13
209,1800096752,13
209,1800020928,13
209,1800025762,13
210,1800026055,13
210,1800071079,13
210,1804383671,13
210,1800019304,13
210,1800103039,13
211,1800223031,13
211,1807579301,13
211,1800018810,13
211,1800248377,13
211,1804365319,13
212,1800223031,13
212,1800340358,13
212,1800128578,13
212,1804358017,13
212,1807761085,13
213,1800353749,13
213,1808406642,13
213,1800057624,13
213,1800023786,13
213,1800287656,13
214,1800245898,13
214,1804358017,13
214,1800026459,13
214,1800113164,13
214,1800021319,13
215,1800174462,13
215,1800020102,13
215,1804383559,13
215,1807426893,13
215,1800057086,13
216,1808439408,13
216,1800279640,13
216,1800071790,13
216,1800198675,13
216,1800244920,13
217,1800071079,13
217,1804383671,13
217,1800367884,13
217,1800182038,13
217,1807816315,13
218,1802834401,13
218,1800350475,13
218,1800043163,13
218,1800025371,13
218,1800228066,13
219,1800350475,13
219,1800125214,13
219,1800018964,13
219,1800084987,13
219,1800228066,13
220,1804094932,13
220,1800067581,13
220,1800105827,13
220,1800099342,13
220,1800228066,13
221,1800183637,13
221,1807858503,13
221,1807565371,13
221,1800026459,13
221,1800223031,13
222,1800019304,13
222,1800353749,13
222,1800112611,13
222,1802834401,13
222,1800137971,13
223,1800020133,13
223,1800171299,13
223,1800024141,13
223,1800025366,13
223,1808406117,13
224,1800019214,13
224,1800233344,13
224,1800072614,13
224,1807812170,13
224,1800057265,13
225,1800082735,13
225,1800054624,13
225,1808406517,13
225,1804358017,13
225,1808429530,13
226,1800112611,13
226,1800059423,13
226,1800070594,13
226,1800134855,13
226,1800025551,13
227,1800223031,13
227,1800179562,13
227,1800245898,13
227,1800021319,13
227,1808403975,13
228,1800019187,13
228,1804133346,13
228,1800043163,13
228,1800022145,13
228,1808440580,13
229,1800019337,13
229,1800067581,13
229,1808405325,13
229,1800112611,13
229,1808405250,13
230,1808411818,13
230,1807751013,13
230,1808393853,13
230,1804365319,13
230,1807812168,13
231,1800116994,13
231,1800021630,13
231,1800361191,13
231,1808415451,13
231,1800223031,13
232,1804770389,13
232,1800228066,13
232,1808411996,13
232,1808473714,13
232,1800020507,13
233,1800183737,13
233,1800341693,13
233,1800025607,13
233,1800071965,13
233,1802761123,13
234,1800228066,13
234,1800120902,13
234,1800350475,13
234,1802834401,13
234,1807426893,13
235,1800022026,13
235,1800019191,13
235,1800070006,13
235,1800223031,13
235,1808416695,13
236,1808409320,13
236,1800268955,13
236,1800317443,13
236,1802834401,13
236,1800245829,13
237,1800020867,13
237,1800069544,13
237,1800019304,13
237,1800340649,13
237,1800217371,13
238,1800268955,13
238,1800223031,13
238,1800350475,13
238,1800350465,13
238,1800228066,13
239,1800019297,13
239,1800340649,13
239,1804861092,13
239,1800223031,13
239,1800120902,13
240,1800107656,13
240,1800353545,13
240,1800229750,13
240,1800228066,13
240,1800021290,13
241,1800350475,13
241,1800353571,13
241,1800022996,13
241,1808404010,13
241,1800228066,13
242,1800041299,13
242,1800019695,13
242,1800071965,13
242,1808418956,13
242,1800244920,13
243,1808419749,13
243,1800022089,13
243,1807776039,13
243,1800353545,13
243,1800421139,13
244,1800185095,13
244,1800139157,13
244,1808411996,13
244,1800223031,13
244,1800021677,13
245,1802814933,13
245,1800206599,13
245,1800021319,13
245,1800419971,13
245,1800233344,12.819535
246,1800022089,13
246,1800019304,13
246,1800268955,13
246,1800228066,13
246,1800182293,13
247,1800139157,13
247,1800233344,13
247,1800340649,13
247,1804383671,13
247,1808406642,13
248,1800019337,13
248,1800112611,13
248,1800107656,13
248,1808406642,13
248,1800022106,13
249,1800134432,13
249,1800019452,13
249,1808427878,13
249,1800182038,13
249,1800353559,13
250,1800233344,13
250,1808404010,13
250,1800223031,13
250,1804358017,13
250,0,13
251,1800233344,13
251,1808405708,13
251,1804030622,13
251,1800026869,13
251,1800128578,13
252,1804094938,13
252,1800071536,13
252,0,13
252,1808410814,13
252,1800244920,13
253,1800177930,13
253,1800244920,13
253,1800071079,13
253,1800217371,13
253,1800353749,13
254,1800261950,13
254,1800229750,13
254,1800025371,13
254,1800228066,13
254,1800020522,13
255,1800112642,13
255,1800112611,13
255,1800067581,13
255,1800228066,13
255,1800105827,13
256,1800182038,13
256,1800018916,13
256,1800300930,13
256,1800361191,13
256,1804094932,13
257,1800022439,13
257,1803248913,13
257,1800018810,13
257,0,13
257,1800366478,13
258,1800240281,13
258,1800071079,13
258,1800233344,13
258,1804484483,13
258,1802821120,13
259,1800019304,13
259,1808455533,13
259,1800049701,13
259,1800030906,13
259,1800192737,13
260,1800018964,13
260,1800128578,13
260,1800223031,13
260,1802761123,13
260,1800228066,13
261,1800025366,13
261,1800137971,13
261,1800228066,13
261,1800022096,13
261,1800353571,13
262,1800027621,13
262,1800071965,13
262,1800108522,13
262,1800244920,13
262,1800198675,13
263,1800019304,13
263,1807751013,13
263,1800233344,13
263,1800363151,13
263,1800072405,13
264,1800353817,13
264,1808472690,13
264,1800025551,13
264,1800022106,13
264,1800022089,13
265,1800018810,13
265,1804408964,13
265,1800071079,13
265,1800021319,13
265,1800248377,13
266,1800025601,13
266,1800048705,13
266,1804861092,13
266,1802834401,13
266,1800279640,13
267,1800019214,13
267,1807812137,13
267,1800057265,13
267,1800021319,13
267,1800120902,13
268,1800128578,13
268,1800049735,13
268,1800353749,13
268,1800228066,13
268,1807426893,13
269,1800112611,13
269,1807776045,13
269,1800215431,13
269,1800111258,13
269,1800228066,13
270,1800112611,13
270,1800367822,13
270,1800192965,13
270,1808411996,13
270,1800420407,13
271,1800071079,13
271,1808411996,13
271,1800099342,13
271,1800019337,13
271,1800025551,13
272,1800057265,13
272,1800054624,13
272,1800103151,13
272,1800026459,13
272,1807463608,13
273,1808464549,13
273,1800020715,13
273,1800019116,13
273,1800018892,13
273,1800022106,13
274,1800099442,13
274,1800023786,13
274,1808405048,13
274,1800022145,13
274,1800228066,13
275,1808419749,13
275,1800229750,13
275,1800043163,13
275,1800022089,13
275,1800245829,13
276,1800223031,13
276,1800159233,13
276,1800179562,13
276,1800062169,13
276,1800245829,13
277,1800080788,13
277,1802821120,13
277,1804170974,13
277,1800025551,13
277,1800070872,13
278,1804857429,13
278,1800244920,13
278,1800025762,13
278,1808455533,13
278,1800020981,13
279,1800228066,13
279,1800236989,13
279,1802761123,13
279,1800018810,13
279,1804383585,13
280,1800072614,13
280,1800172002,13
280,1800070006,13
280,1800125964,13
280,1800128578,13
281,1800124151,13
281,1804379947,13
281,1807565371,13
281,1800099816,13
281,1800109559,13
282,1802813191,13
282,1800353749,13
282,1808439408,13
282,1804713420,13
282,1808435651,13
283,1800353749,13
283,1800361191,13
283,1800233344,13
283,1800245829,13
283,1800228066,13
284,1800090455,13
284,1800223031,13
284,1800082735,13
284,1800064784,13
284,1800228066,13
285,1800026322,13
285,1800205324,13
285,1800024141,13
285,1800223031,13
285,1800179562,13
286,1808405164,13
286,1800070594,13
286,1800059423,13
286,1808419749,13
286,1800020738,13
287,1800223031,13
287,1800222974,13
287,1800340322,13
287,1804383564,13
287,1800228066,13
288,1800353825,13
288,1800043163,13
288,1800137971,13
288,1800020522,13
288,1800018964,13
289,1800018623,13
289,1800068492,13
289,1802834401,13
289,1804383671,13
289,1800018964,13
290,1800024398,13
290,1807579301,13
290,1800019218,13
290,1800118520,13
290,1800350475,13
291,1800019191,13
291,1800022439,13
291,1800022229,13
291,1800228066,13
291,1800022106,13
292,1800043163,13
292,1800021319,13
292,1800020586,13
292,1800022106,13
292,1800228066,13
293,1800317050,13
293,1808411888,13
293,1800105827,13
293,1800228066,13
293,1800043163,13
294,1800171299,13
294,1800103660,13
294,1800022145,13
294,1800195659,13
294,1800021290,13
295,1804329632,13
295,1800025462,13
295,1800114388,13
295,1800083083,13
295,1800229631,13
296,1800228066,13
296,1807579301,13
296,1808404010,13
296,1800021339,13
296,1807426893,13
297,1800244920,13
297,1800096752,13
297,1800060889,13
297,1800137971,13
297,1800025762,13
298,1804383678,13
298,1800245898,13
298,1807634842,13
298,1800179562,13
298,1800090239,13
299,1800340649,13
299,1800018964,13
299,1800205324,13
299,1800245898,13
299,1800223031,13
300,1800182364,13
300,1807751013,13
300,1800340322,13
300,1800026459,13
300,1800350465,13
301,1800096752,13
301,1800353825,13
301,1800233344,13
301,1800353749,13
301,1800025551,13
302,1800444902,13
302,1800195659,13
302,1802814933,13
302,1800182364,13
302,1800105736,13
303,1802814933,13
303,1800228066,13
303,1800223031,13
303,1800018916,13
303,1800023978,13
304,1800103039,13
304,1800122103,13
304,1800022106,13
304,1800212014,13
304,1802814933,13
305,1807743675,13
305,1800019201,13
305,1800223031,13
305,1804358017,13
305,1807426897,13
306,1807634842,13
306,1808405164,13
306,1800233344,13
306,1800366478,13
306,1807776058,13
307,1800223031,13
307,1800340322,13
307,1800340284,13
307,1800228066,13
307,1800261144,13
308,1800233344,13
308,1802814933,13
308,1800223031,13
308,1800182293,13
308,1804383671,13
309,1800228066,13
309,1800026459,13
309,1800350475,13
309,1800245829,13
309,1804398726,13
310,1800112667,13
310,1800112642,13
310,1800067581,13
310,1800112611,13
310,1800228066,13
311,1800223031,13
311,1804383585,13
311,1800026582,13
311,1804383571,13
311,1807645163,13
312,1800226254,13
312,1800253182,13
312,1808406009,13
312,1800264356,13
